prov_code,dist_code,dist_name,gid,sp_id
1,13,Kalutara,3,4
1,11,Colombo,1,21
1,12,Gampaha,2,24
2,21,Kandy,4,0
2,22,Matale,5,1
2,23,Nuwara Eliya,6,2
3,31,Galle,7,18
3,33,Hambantota,9,19
3,32,Matara,8,20
4,45,Kilinochchi,14,7
4,42,Mannar,11,8
4,44,Mullaitivu,13,9
4,41,Jaffna,10,11
4,43,Vavuniya,12,12
5,52,Ampara,16,3
5,51,Batticaloa,15,5
5,53,Trincomalee,17,13
6,61,Kurunegala,18,6
6,62,Puttalam,19,10
7,71,Anuradhapura,20,14
7,72,Polonnaruwa,21,15
8,81,Badulla,22,22
8,82,Moneragala,23,23
9,92,Kegalle,25,16
9,91,Ratnapura,24,17
